price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,text
221900,3,1,1180,1,Нет,0,3,1180,0,1955,0,47.5112,-122.257,Год експлуатации: 1955<br>Цена: 221900<br>Общая площадь: 1180
538000,3,2,2570,2,Нет,0,3,2170,400,1951,1991,47.721000000000004,-122.319,Год експлуатации: 1951<br>Цена: 538000<br>Общая площадь: 2570
180000,2,1,770,1,Нет,0,3,770,0,1933,0,47.7379,-122.23299999999999,Год експлуатации: 1933<br>Цена: 180000<br>Общая площадь: 770
604000,4,3,1960,1,Нет,0,5,1050,910,1965,0,47.5208,-122.39299999999999,Год експлуатации: 1965<br>Цена: 604000<br>Общая площадь: 1960
510000,3,2,1680,1,Нет,0,3,1680,0,1987,0,47.6168,-122.045,Год експлуатации: 1987<br>Цена: 510000<br>Общая площадь: 1680
1225000,4,4,5420,1,Нет,0,3,3890,1530,2001,0,47.6561,-122.005,Год експлуатации: 2001<br>Цена: 1225000<br>Общая площадь: 5420
257500,3,2,1715,2,Нет,0,3,1715,0,1995,0,47.3097,-122.32700000000001,Год експлуатации: 1995<br>Цена: 257500<br>Общая площадь: 1715
291850,3,2,1060,1,Нет,0,3,1060,0,1963,0,47.4095,-122.315,Год експлуатации: 1963<br>Цена: 291850<br>Общая площадь: 1060
229500,3,1,1780,1,Нет,0,3,1050,730,1960,0,47.5123,-122.337,Год експлуатации: 1960<br>Цена: 229500<br>Общая площадь: 1780
323000,3,2,1890,2,Нет,0,3,1890,0,2003,0,47.3684,-122.031,Год експлуатации: 2003<br>Цена: 323000<br>Общая площадь: 1890
662500,3,2,3560,1,Нет,0,3,1860,1700,1965,0,47.6007,-122.145,Год експлуатации: 1965<br>Цена: 662500<br>Общая площадь: 3560
468000,2,1,1160,1,Нет,0,4,860,300,1942,0,47.69,-122.292,Год експлуатации: 1942<br>Цена: 468000<br>Общая площадь: 1160
310000,3,1,1430,1,Нет,0,4,1430,0,1927,0,47.7558,-122.229,Год експлуатации: 1927<br>Цена: 310000<br>Общая площадь: 1430
400000,3,2,1370,1,Нет,0,4,1370,0,1977,0,47.6127,-122.045,Год експлуатации: 1977<br>Цена: 400000<br>Общая площадь: 1370
530000,5,2,1810,1,Нет,0,3,1810,0,1900,0,47.67,-122.39399999999999,Год експлуатации: 1900<br>Цена: 530000<br>Общая площадь: 1810
650000,4,3,2950,2,Нет,3,3,1980,970,1979,0,47.5714,-122.375,Год експлуатации: 1979<br>Цена: 650000<br>Общая площадь: 2950
